"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu May 01 15:25:12 CST 2025","Thu May 01 15:25:17 CST 2025","5618","Default Suite","code","io.github.programmerchenyu.demo.web.cases.WebDeepSeekLoginCase","io.github.programmerchenyu.demo.web.cases.WebDeepSeekLoginCase","loginCase","loginCase",""
"failed","Thu May 01 15:24:23 CST 2025","Thu May 01 15:24:31 CST 2025","8108","Default Suite","code","io.github.programmerchenyu.demo.app.cases.AppDeepSeekLoginCase","io.github.programmerchenyu.demo.app.cases.AppDeepSeekLoginCase","loginCase","loginCase",""
